Type,Business,DBA,License,Street,City,Zipcode,Website,Location
Medical Marijuana Only,BLUEPOINT WELLNESS OF WESTPORT LLC,BLUEPOINT WELLNESS OF WESTPORT LLC,MMDF.0000029,1460 POST RD E,WESTPORT,06880-5500,https://www.bluepointwellnessct.com/order/westport/,POINT (-73.31338 41.13852)
Hybrid Retailer,FFD WEST LLC,FINE FETTLE DISPENSARY - STAMFORD,AMHF.0008247,12 RESEARCH DR,STAMFORD,06906-1419,https://www.finefettle.com/,POINT (-73.52019 41.07777)
Adult-Use Cannabis Only,JANANII LLC,JANANII LLC,ACRE.0008858,3490 WHITNEY AVE,HAMDEN,06518-1936,,POINT (-72.90604 41.42158)
Hybrid Retailer,DIVINE 1 LLC,CLONE CANABISS,AMHF.0003139,834 Broad Street,Meriden,06450,,POINT (-72.7864 41.54163)
Adult-Use Cannabis Only,DIVINE 1 LLC,CLONE CANABISS,ACRE.0008896,39 NEW HAVEN RD,SEYMOUR,06483-3460,,POINT (-73.06197 41.39729)
Hybrid Retailer,DIVINE 1 LLC,CLONE CANABISS,AMHF.0003319,425 W Main Street,Norwich,06360,,POINT (-72.09378 41.51987)
Hybrid Retailer,EJ VENTURES 2 LLC,AFFINITY DISPENSARY,AMHF.0008235,2000 COMMERCE DR,BRIDGEPORT,06605,,POINT (-73.21962 41.16796)
Adult-Use Cannabis Only,DEBBIE'S DISPENSARY LLC,CRISP CANNABIS,ACRE.0009619,500 Main St,East Hartford,06118,,POINT (-72.64309 41.75751)
Hybrid Retailer,"FFDC EJV, LLC","FFDC EJV, LLC",AMHF.0008292,191 Main Street,Norwalk,06851,,POINT (-73.42196 41.12645)
Adult-Use Cannabis Only,ACREAGE CONNECTICUT RETAIL JV LLC,LIT NEW HAVEN,ACRE.0015697,169 East St,New Haven,06511,,POINT (-72.91032 41.30293)
Hybrid Retailer,TY'S DISPENSARY LLC,CRISP CANNABIS,AMHF.0004449,1234 Huntington Tpke,Bridgeport,06610,,POINT (-73.16679 41.22464)
Adult-Use Cannabis Only,NUTMEG HARTFORD JV LLC,HIGHER COLLECTIVE,ACRE.0015652,1396 Park Street,Hartford,06106,,POINT (-72.70144 41.75819)
Adult-Use Cannabis Only,Nutmeg Hamden JV LLC,Nutmeg Hamden JV LLC,ACRE.0015653,3825 WHITNEY AVE,HAMDEN,06518-1519,,POINT (-72.90748 41.43279)
Adult-Use Cannabis Only,NUTMEG KILLINGLY JV LLC,HIGHER COLLECTIVE,ACRE.0015655,1078 N MAIN ST,KILLINGLY,06241-2127,,POINT (-71.87627 41.83957)
Adult-Use Cannabis Only,NUTMEG SOUTHWEST JV LLC,HIGHER COLLECTIVE,ACRE.0015654,3369 FAIRFIELD AVE,BRIDGEPORT,06605-3224,,POINT (-73.23516 41.15473)
Adult-Use Cannabis Only,NUTMEG NORTHWEST JV LLC,HIGHER COLLECTIVE,ACRE.0015662,53 McDermott Avenue,Torrington,06790,,POINT (-73.12478 41.81382)
Adult-Use Cannabis Only,NUTMEG NEW LONDON JV LLC,HIGHER COLLECTIVE,ACRE.0015657,595 Bank Street,New London,06320,,POINT (-72.10283 41.34984)
Adult-Use Cannabis Only,UMN EQUITY JOINT VENTURE LLC,UMN EQUITY JOINT VENTURE LLC,ACRE.0014925,157 Boston Post Rd,North Windham,06256,,POINT (-72.1878 41.72977)
Adult-Use Cannabis Only,SFC CT LLC,VENU FLOWER COLLECTIVE,ACRE.0015659,895 Washington Street,Middletown,06457,,POINT (-72.68225 41.5539)
Hybrid Retailer,BUDR HOLDING 2 LLC,BUDR CANNABIS,AMHF.0008295,1037 BOULEVARD,WEST HARTFORD,06119,,POINT (-72.71582 41.76005)
Hybrid Retailer,Budr Holding 3 LLC,Budr Holding 3 LLC,AMHF.0008294,9 Fieldstone Commons,Tolland,06084,,POINT (-72.3584 41.86074)
Adult-Use Cannabis Only,"Insa CT Retail I, LLC","Insa CT Retail I, LLC",ACRE.0015682,167 Brainard Rd,Hartford,06114,,POINT (-72.65955 41.73544)
Adult-Use Cannabis Only,"Insa CT Retail II, LLC","Insa CT Retail II, LLC",ACRE.0015678,222 Sargent Dr,New Haven,06511,,POINT (-72.92055 41.29319)
Hybrid Retailer,"FFD PINK EJV, LLC","FFD PINK EJV, LLC",AMHF.0008273,1212 Farmington Ave,Bristol,06010,,POINT (-72.90387 41.69742)
Hybrid Retailer,"FFD BLUE EJV, LLC","FFD BLUE EJV, LLC",AMHF.0008293,85 TURNPIKE DRIVE,WATERBURY,06708,,POINT (-73.09149 41.56641)
Adult-Use Cannabis Only,"GREEN ACRES CT ONE, LLC","420 WAREHOUSE CANNABIS STORE, LLC",ACRE.0015689,1 Hartford Square,New Britain,06052,,POINT (-72.81087 41.66464)
Hybrid Retailer,Budr Holding 6 LLC,Budr Holding 6 LLC,AMHF.0008281,7365 MAIN STREET,STRATFORD,06614,,POINT (-73.10158 41.25372)
Adult-Use Cannabis Only,CONNECTIBUDS EJV 1 LLC,HI PEOPLE CANNABIS MARKET,ACRE.0015685,306 Market Street,Hartford,06120,,POINT (-72.6707 41.77189)
Adult-Use Cannabis Only,CONNECTIBUDS EJV 2 LLC,HI PEOPLE CANNABIS MARKET,ACRE.0015686,90 Pershing Drive,Derby,06418,,POINT (-73.0846 41.3278)
Hybrid Retailer,STAMFORD DISPENSARY LLC,SWEETSPOT DISPENSARY,AMHF.0008284,111 High Ridge Road,Stamford,06905,,POINT (-73.54913 41.076)
Hybrid Retailer,C-3 VENTURES LLC,STILL RIVER WELLNESS,AMHF.0008264,3568 WINSTED RD,TORRINGTON,06790-2213,https://stillriverwellness.com/pre-order/,POINT (-73.0761 41.88085)
Hybrid Retailer,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,ZEN LEAF,AMHF.0008257,606 West Main Street,Norwich,06360,,POINT (-72.10071 41.51609)
Adult-Use Cannabis Only,C3 EJV II LLC,C3 EJV II LLC,ACRE.0015694,130 Honeyspot Road,Stratford,06615,,POINT (-73.14376 41.18323)
Hybrid Retailer,Nautilus Botanicals EJV1 LLC,Nautilus Botanicals EJV1 LLC,AMHF.0008282,63 Amity Rd,New Haven,06515,,POINT (-72.97786 41.33657)
Hybrid Retailer,SWEETSPOT WEST HARTFORD LLC,SWEETSPOT WEST HARTFORD LLC,AMHF.0008269,2 Park Road,West Hartford,06119,,POINT (-72.71498 41.75648)
Hybrid Retailer,"CONNECTICUT RETAIL SOLUTIONS II, LLC",AYR CANNABIS,AMHF.0008275,185 Spencer Street,Manchester,06040,,POINT (-72.56875 41.76731)
Hybrid Retailer,FFDC EJV II LLC,FINE FETTLE - WEST HARTFORD,AMHF.0008290,1232 Farmington Ave,West Hartford,06107,,POINT (-72.76609 41.75538)
Adult-Use Cannabis Only,BUDR HARTFORD HOLDING LLC,BUDR HARTFORD HOLDING LLC,ACRE.0015644,108 Federal Road,Danbury,06810,,POINT (-73.42002 41.42019)
Hybrid Retailer,FFDW EJV LLC,FFDW EJV LLC,AMHF.0008289,91 HALE RD,MANCHESTER,06042-1769,,POINT (-72.52914 41.81182)
