name,detail_url,logo_url,slug,has_logo
#1 Suspect Extracts,https://www.leafly.com/brands/1-suspect-extracts,https://leafly-public.imgix.net/brands/brand-placeholder.svg,1-suspect-extracts,yes
#HASH,https://www.leafly.com/brands/hash,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/A2fsBESTJ6OWG5u4aXbE_HASH-logo-300x300.png,hash,yes
&Shine,https://www.leafly.com/brands/shine,https://leafly-public.imgix.net/brands/brand-placeholder.svg,shine,yes
'64 Farms,https://www.leafly.com/brands/alpha-64-farms,https://leafly-public.imgix.net/brands/brand-placeholder.svg,alpha-64-farms,yes
(V)ia,https://www.leafly.com/brands/v-ia,https://leafly-public.imgix.net/brands/brand-placeholder.svg,v-ia,yes
(the) Essence,https://www.leafly.com/brands/(the)-essence,https://s3-us-west-2.amazonaws.com/leafly-public/9ZMaO1g5SXuqEkCsJXWV_e75d09ce-6058-4e94-8ab0-a6d8081fb9ba,(the)-essence,yes
*Wonder Wellness Co.,https://www.leafly.com/brands/wonder-wellness,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/5YpU4v5dSxCIXwqvwiXA_Wonder-Wellness-Mobile-Cover-Photo-Roo-Logo-1000x1000.png,wonder-wellness,yes
#NAME?,https://www.leafly.com/brands/ness,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/0C1S5lrrQLyUoBCKXQU9_ness_logo_300x300.jpg,ness,yes
00 Seeds,https://www.leafly.com/brands/00-seeds,https://leafly-public.imgix.net/brands/brand-placeholder.svg,00-seeds,yes
1 (833) SEED USA,https://www.leafly.com/brands/cannabis-seeds-usa,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/qdPfLzaQ9ei1YCn3Pb2A_Logopit_1593631369468.jpg,cannabis-seeds-usa,yes
1 Luv,https://www.leafly.com/brands/1-luv,https://leafly-public.imgix.net/brands/brand-placeholder.svg,1-luv,yes
1 PUFF,https://www.leafly.com/brands/1-puff,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/SsmMq3JkQa0tCRi8NDVB_1PUFF_SOCIAL_THUMB.jpg,1-puff,yes
100 Packs,https://www.leafly.com/brands/100-packs,https://leafly-public.imgix.net/brands/brand-placeholder.svg,100-packs,yes
101 CBD,https://www.leafly.com/brands/101-cbd,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/ex0VxcOMTYqoIOwW2XUT_101CBD.ORG-LOGO300widewhite.jpg,101-cbd,yes
101 Cannabis Co.,https://www.leafly.com/brands/101-cannabis-co,https://leafly-public.imgix.net/brands/brand-placeholder.svg,101-cannabis-co,yes
11:11,https://www.leafly.com/brands/11-11,https://leafly-public.imgix.net/brands/brand-placeholder.svg,11-Nov,yes
1201 Labs,https://www.leafly.com/brands/1201-labs,https://leafly-public.imgix.net/brands/brand-placeholder.svg,1201-labs,yes
13 Glass,https://www.leafly.com/brands/13-glass,https://leafly-public.imgix.net/brands/brand-placeholder.svg,13-glass,yes
14er,https://www.leafly.com/brands/14er,https://leafly-public.imgix.net/brands/brand-placeholder.svg,14er,yes
1620 Labs,https://www.leafly.com/brands/1620-labs,https://s3-us-west-2.amazonaws.com/leafly-public/azTWhIxQfiwqN0AnjlMW_db157dd4-7ba7-4fbb-bbdf-e94ada839db7,1620-labs,yes
17 Farms,https://www.leafly.com/brands/17farms,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/8IBU6ODJTuSWO2BDZX9i_7754AE21-0CFB-4C6C-8AC7-C4ED8CFABC67.jpeg,17farms,yes
