name,latitude,longitude,description,address,phone,url,Medical marijuana available beginning:,Open on:,Product available as of 10/28/2025:,Address,City,State,Zip Code,Phone number,Website
Sunnyside - Butler County,,,Medical marijuana available beginning:: 2/15/18 Open on:: 2/15/18 Product available as of 10/28/2025:: Yes Address: 201 Pillow Street City: Bulter State: Pennsylvania Zip Code: 16001 Phone number: 724-276-0069 Website: http://www.cydispensary.com/,"Medical marijuana available beginning:: 2/15/18, Open on:: 2/15/18, Product available as of 10/28/2025:: Yes, Address: 201 Pillow Street, City: Bulter, State: Pennsylvania, Zip Code: 16001, Phone number: 724-276-0069, Website: http://www.cydispensary.com/",724-276-0069,http://www.cydispensary.com/,2/15/18,2/15/18,Yes,201 Pillow Street,Bulter,Pennsylvania,16001,724-276-0069,http://www.cydispensary.com/
Apothecarium Dispensary - Bethlehem,,,Medical marijuana available beginning:: 2/16/18 Open on:: 2/16/18 Product available as of 10/28/2025:: Yes Address: 1309 Stefko Boulevard City: Bethlehem State: Pennsylvania Zip Code: 18017 Phone number: 814-934-5567 Website: http://www.ilerahealthcare.com/#medicine_from_marijuana,"Medical marijuana available beginning:: 2/16/18, Open on:: 2/16/18, Product available as of 10/28/2025:: Yes, Address: 1309 Stefko Boulevard, City: Bethlehem, State: Pennsylvania, Zip Code: 18017, Phone number: 814-934-5567, Website: http://www.ilerahealthcare.com/#medicine_from_marijuana",814-934-5567,http://www.ilerahealthcare.com/#medicine_from_marijuana,2/16/18,2/16/18,Yes,1309 Stefko Boulevard,Bethlehem,Pennsylvania,18017,814-934-5567,http://www.ilerahealthcare.com/#medicine_from_marijuana
Organic Remedies - Enola,,,Medical marijuana available beginning:: 2/16/18 Open on:: 2/16/18 Product available as of 10/28/2025:: Yes Address: 4425 Valley Road City: Enola State: Pennsylvania Zip Code: 17025 Phone number: 717-562-7758 Website: http://organicremediespa.com/,"Medical marijuana available beginning:: 2/16/18, Open on:: 2/16/18, Product available as of 10/28/2025:: Yes, Address: 4425 Valley Road, City: Enola, State: Pennsylvania, Zip Code: 17025, Phone number: 717-562-7758, Website: http://organicremediespa.com/",717-562-7758,http://organicremediespa.com/,2/16/18,2/16/18,Yes,4425 Valley Road,Enola,Pennsylvania,17025,717-562-7758,http://organicremediespa.com/
Trulieve - Pittsburgh Squirrel Hill,,,Medical marijuana available beginning:: 2/16/18 Open on:: 2/16/18 Product available as of 10/28/2025:: Yes Address: 5600 Forward Avenue City: Pittsburgh State: Pennsylvania Zip Code: 15217 Phone number: 412-754-4480 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 2/16/18, Open on:: 2/16/18, Product available as of 10/28/2025:: Yes, Address: 5600 Forward Avenue, City: Pittsburgh, State: Pennsylvania, Zip Code: 15217, Phone number: 412-754-4480, Website: https://www.trulieve.com/",412-754-4480,https://www.trulieve.com/,2/16/18,2/16/18,Yes,5600 Forward Avenue,Pittsburgh,Pennsylvania,15217,412-754-4480,https://www.trulieve.com/
Zen Leaf - Sellersville,,,Medical marijuana available beginning:: 2/17/18 Open on:: 2/17/18 Product available as of 10/28/2025:: Yes Address: 64 N. Main Street City: Sellersville State: Pennsylvania Zip Code: 18960 Phone number: 215-257-3243 Website: https://zenleafdispensaries.com,"Medical marijuana available beginning:: 2/17/18, Open on:: 2/17/18, Product available as of 10/28/2025:: Yes, Address: 64 N. Main Street, City: Sellersville, State: Pennsylvania, Zip Code: 18960, Phone number: 215-257-3243, Website: https://zenleafdispensaries.com",215-257-3243,https://zenleafdispensaries.com,2/17/18,2/17/18,Yes,64 N. Main Street,Sellersville,Pennsylvania,18960,215-257-3243,https://zenleafdispensaries.com
Sunnyside - Lancaster,,,Medical marijuana available beginning:: 3/7/18 Open on:: 3/7/18 Product available as of 10/28/2025:: Yes Address: 1866 Fruitville Pike City: Lancaster State: Pennsylvania Zip Code: 17601 Phone number: 717-619-2873 Website: https://www.sunnyside.shop/,"Medical marijuana available beginning:: 3/7/18, Open on:: 3/7/18, Product available as of 10/28/2025:: Yes, Address: 1866 Fruitville Pike, City: Lancaster, State: Pennsylvania, Zip Code: 17601, Phone number: 717-619-2873, Website: https://www.sunnyside.shop/",717-619-2873,https://www.sunnyside.shop/,3/7/18,3/7/18,Yes,1866 Fruitville Pike,Lancaster,Pennsylvania,17601,717-619-2873,https://www.sunnyside.shop/
Bloc Dispensary - Edwardsville,,,Medical marijuana available beginning:: 3/20/18 Open on:: 3/20/18 Product available as of 10/28/2025:: Yes Address: 7B Gateway Shopping Center City: Edwardsville State: Pennsylvania Zip Code: 18704 Phone number: 570-762-7300 Website: www.blocdispensary.com,"Medical marijuana available beginning:: 3/20/18, Open on:: 3/20/18, Product available as of 10/28/2025:: Yes, Address: 7B Gateway Shopping Center, City: Edwardsville, State: Pennsylvania, Zip Code: 18704, Phone number: 570-762-7300, Website: www.blocdispensary.com",570-762-7300,,3/20/18,3/20/18,Yes,7B Gateway Shopping Center,Edwardsville,Pennsylvania,18704,570-762-7300,www.blocdispensary.com
Organic Remedies - Chambersburg,,,Medical marijuana available beginning:: 3/20/18 Open on:: 3/20/18 Product available as of 10/28/2025:: Yes Address: 900 Wayne Avenue City: Chambersburg State: Pennsylvania Zip Code: 17201 Phone number: 717-251-2321 Website: http://organicremediespa.com/,"Medical marijuana available beginning:: 3/20/18, Open on:: 3/20/18, Product available as of 10/28/2025:: Yes, Address: 900 Wayne Avenue, City: Chambersburg, State: Pennsylvania, Zip Code: 17201, Phone number: 717-251-2321, Website: http://organicremediespa.com/",717-251-2321,http://organicremediespa.com/,3/20/18,3/20/18,Yes,900 Wayne Avenue,Chambersburg,Pennsylvania,17201,717-251-2321,http://organicremediespa.com/
Sunnyside - Phoenixville,,,Medical marijuana available beginning:: 4/6/18 Open on:: 4/6/18 Product available as of 10/28/2025:: Yes Address: 500 Kimberton Road City: Phoenixville State: Pennsylvania Zip Code: 19460 Phone number: 610-546-2873 Website: https://www.sunnyside.shop/,"Medical marijuana available beginning:: 4/6/18, Open on:: 4/6/18, Product available as of 10/28/2025:: Yes, Address: 500 Kimberton Road, City: Phoenixville, State: Pennsylvania, Zip Code: 19460, Phone number: 610-546-2873, Website: https://www.sunnyside.shop/",610-546-2873,https://www.sunnyside.shop/,4/6/18,4/6/18,Yes,500 Kimberton Road,Phoenixville,Pennsylvania,19460,610-546-2873,https://www.sunnyside.shop/
Columbia Care - Keyser Dispensary,,,Medical marijuana available beginning:: 4/16/18 Open on:: 4/16/18 Product available as of 10/28/2025:: Yes Address: 1740 North Keyser Avenue City: Scranton State: Pennsylvania Zip Code: 18508 Phone number: 570-309-6098 Website: https://www.columbia.care/,"Medical marijuana available beginning:: 4/16/18, Open on:: 4/16/18, Product available as of 10/28/2025:: Yes, Address: 1740 North Keyser Avenue, City: Scranton, State: Pennsylvania, Zip Code: 18508, Phone number: 570-309-6098, Website: https://www.columbia.care/",570-309-6098,https://www.columbia.care/,4/16/18,4/16/18,Yes,1740 North Keyser Avenue,Scranton,Pennsylvania,18508,570-309-6098,https://www.columbia.care/
